BILL_NAME,BILL_NO,summary
통신비밀보호법 일부개정법률안,2203054,현행법은 감청설비를 제조ㆍ수입ㆍ판매ㆍ배포ㆍ소지ㆍ사용하거나 이를 위한 광고를 하고자 하는 자는 과학기술정보통신부장관의 인가를 받도록 규정하고 있음. 또한 감청설비 인가에 관하여 기타 필요한 사항은 대통령령에 위임하고 있고 동법 시행령에서 감청설비 인가의 취소사유 및 방법 등에 관하여 규정하고 있음. 그러나 인가 취소의 경우 국민의 권리제한에 관한 사항으로 침익적 행정행위의 성격을 가지고 있음에도 이를 법률이 아니라 시행령에서 정하고 있는 것은 법률유보의 원칙에 위배된다는 의견이 있음. 이에 과학기술정보통신부장관은 인가를 받은 자가 거짓이나 그 밖의 부정한 방법으로 인가받은 것이 판명된 경우 등에는 그 인가를 취소하도록 하는 등 감청설비 인가의 취소사유 및 방법에 대한 법적 근거를 시행령이 아닌 법률로 상향하여 규정하려는 것임(안 제10조제5항 신설 및 제6항).
벤처기업육성에 관한 특별법 일부개정법률안,2204710,중소벤처기업 인수합병 지원센터의 지정을 취소할 수 있는 사유의 하나로 종전에는 지정받은 업무를 정당한 사유 없이 ‘1개월 이상’ 수행하지 아니한 경우로 정하였으나 앞으로는 ‘6개월 이상’ 수행하지 아니한 경우로 완화하여 중소벤처기업 인수합병 지원센터의 업무 수행 부담을 덜어주려는 것임(안 제15조의14제3호).
인쇄문화산업 진흥법 일부개정법률안,2202388,현행법은 간행물을 발행하기 위하여 인쇄사를 경영하고자 신고를 한 자가 그 영업을 폐업한 경우에는 폐업한 날부터 7일 이내에 관할 시장 등에게 신고하도록 하고 있음. 그러나 폐업신고기한이 지나치게 짧아 폐업신고가 누락되는 경우가 발생하고 있어 그 부담이 과도하다는 의견이 제시됨. 이에 폐업신고기간을 30일로 연장함으로써 사업자의 폐업신고 부담을 완화하려는 것임(안 제13조제1항).
전세사기피해자 지원 및 주거안정에 관한 특별법 일부개정법률안(대안),2210286,현행법의 유효기간 만료가 2025년 5월 31일로 예정되어 있고 유효기간이 만료한 후에는 유효기간 만료 전에 전세사기피해자등으로 결정된 사람과 전세사기피해자등 결정신청을 한 사람에 대해서만 현행법이 계속 적용됨. 그러나 전세사기피해자등 결정신청 건수는 눈에 띄는 감소세를 보여주지 못하고 있고 새로운 피해사례가 확인되는 등 전세사기 피해가 아직 계속되고 있어 신청 접수를 중단하더라도 심각한 부작용이 없을 정도로 피해자 구제 수요가 급감하고 있다고 보기 어려움. 이에 잠재적으로 피해가 예상되는 임차인이 현행법에 따른 보호를 받을 수 있도록 현행법의 유효기간을 2년 추가로 연장하되 전세사기 피해자의 주거불안 해소를 위하여 한시적인 특별법으로 제정된 취지를 고려하여 현행법의 유효기간인 2025년 5월 31일까지 임대차계약을 최초로 체결한 임차인에게만 적용하는 것으로 함(법률 제19425호 부칙 제2조).
총포·도검·화약류 등의 안전관리에 관한 법률 일부개정법률안(대안),2206321,도검·화약류·분사기·전자충격기·석궁의 신규 소지허가를 할 때 정신질환 또는 성격장애 확인 서류의 제출을 의무화하고 도검·분사기·전자충격기·석궁 소지허가를 3년마다 갱신하도록 하며 총포 등의 소지허가 결격사유를 강화하고 경찰청장으로 하여금 화약류 안전관리 계획을 수립하도록 하는 등 총포·도검·화약류 등으로 인한 사고를 예방하고 국민의 생명·신체·재산을 보호하려는 것임. 대안의 주요내용 가. 도검·화약류·분사기·전자충격기·석궁 신규 소지허가시 정신질환 또는 성격장애 확인 서류 제출을 의무화함(안 제12조). 나. 도검·분사기·전자충격기·석궁 소지허가를 3년마다 갱신하도록 함(안 제16조 등). 다. 총포 등의 소지허가 결격사유를 강화함(안 제13조). 라. 경찰청장으로 하여금 화약류 안전관리 계획을 수립하도록 함(안 제3조의2제3항) 마. 판매업의 허가와 변경허가를 분리하고 경미한 구조·시설·설비의 변경에 대해서는 허가 대신 신고사항으로 변경함(안 제6조의2 등). 바. 화약류 관련 기술상 기준을 경찰청장 고시사항으로 변경함(안 제18조제4항 제20조제5항 등).
윤석열 정부의 비상계엄 선포를 통한 내란 혐의 진상규명 국정조사특별위원회 활동기간 연장의 건,2207960,
자연환경보전법 일부개정법률안(대안),2208506,첫째 제15차 생물다양성협약 당사국총회(‘22.12)에서 협약 당사국은 2030년까지 훼손된 생태계의 30% 이상을 복원하고 기업활동의 생물다양성 영향 및 의존도 등을 공시하는 제도를 도입키로 합의하는 등 국제사회를 중심으로 훼손된 자연환경의 복원과 생물다양성을 고려한 기업 경영 등에 대한 압력이 증대하고 있어 자연환경복원사업에 민간이 참여할 수 있도록 법적 근거를 마련하는 한편 생태적으로 우수한 자연환경복원사업에 대하여 국가가 인증해 주는 제도를 도입하여 모범적인 복원사례가 널리 확산될 수 있도록 하고 자연환경보전사업 대행자에 대한 체계적 관리를 위해 대행자 등록 및 자연환경복원지원센터의 지정 및 사업 수행 근거를 마련하고자 함. 둘째 생태관광자원에 대한 체계적인 조사 생태관광의 목표 지속가능한 이용방안 등에 대한 계획 수립 절차가 없는 등 생태관광의 체계적 육성이 어려운 실정임. 이에 생태관광지역을 관할하는 지방자치단체의 장이 지역특성을 감안한 생태관광 활성화 전략을 수립할 수 있도록 하고 우수한 생태관광 프로그램에 대한 인증 제도를 도입하는 등 생태관광 활성화를 위한 제도적 기반을 마련하고자 함. 셋째 최근 10년 간 생태계보전부담금 징수율이 평균 63.4%에 그치고 있어 다른 법정부담금과 마찬가지로 생태계보전부담금 또는 가산금의 징수 권한을 위임받은 시ㆍ도지사가 납부의무 이행 강제수단을 행사할 수 있도록 하는 근거 규정을 마련해야 한다는 지적이 제기되고 있으며 아울러 환경부장관이 생태계보전부담금의 부과ㆍ징수를 위하여 필요한 경우에는 관계 중앙행정기관의 장 또는 지방자치단체의 장에게 필요한 자료 제출을 요청할 수 있도록 하여야 한다는 필요성도 제기되고 있음. 이에 생태계보전부담금을 납부하지 않은 경우 국세 강제징수의 예 또는 「지방행정제재ㆍ부과금의 징수 등에 관한 법률」에 따르도록 하고 환경부장관은 생태계보전부담금의 부과ㆍ징수를 위하여 필요한 경우에는 관계 중앙행정기관의 장 또는 지방자치단체의 장에게 필요한 자료의 제출을 요청할 수 있도록 함으로써 생태계보전부담금 징수 효율성 및 징수율 제고에 기여하고자 함. 넷째 제15차 생물다양성협약 당사국총회(‘22.12)에서 협약 당사국은 2030년까지 육상 육수 및 연안ㆍ해양 지역의 30% 이상을 보호지역 등으로 보전ㆍ관리되도록 하는 목표를 담은 ‘쿤밍-몬트리올 글로벌 생물다양성 프레임워크’를 채택하였으며 국제사회 목표 이행현황 측정 및 보고를 위해 보호지역 관련 통계에 대한 체계적 관리의 중요성이 증대됨에 따라 보호지역 관련 정보 통계 구축 근거를 마련함으로써 보호지역 관련 관계부처 간 정보 공유 협력체계 강화 및 통계 신뢰성 향상을 도모하고 국제사회 목표 달성에 기여하고자 함. 대안의 주요내용 가. 자연환경복원사업의 민간 참여에 대한 법적 근거를 마련하고 자연환경복원사업에 대한 대행자 등록제도 및 우수 자연환경복원사업 인증제도를 도입하며 자연환경복원지원센터의 지정 근거 등을 신설함(안 제45조의7 등). 나. 지방자치단체장의 생태관광 활성화 전략 수립ㆍ시행의 법적 근거를 마련하고 생태관광프로그램 등에 대한 인증제도를 도입하며 생태관광지역 관리ㆍ운영평가 및 생태관광자원 통합정보시스템 구축ㆍ운영 근거를 마련하고 생태관광 국제협력을 위한 제도적 기반을 마련함(안 제41조의2부터 제41조의6까지 신설 등). 다. 생태계보전부담금 징수 방법을 개선하고 생태계보전부담금 징수에 필요한 자료 요청의 근거를 마련함(안 제48조). 라. 보호지역 정보에 대한 구축·운영의 법적 근거를 마련함(안 제11조).
군인사법 일부개정법률안(대안),2208511,육아휴직 신청 대상을 단기복무 장교ㆍ부사관 전체로 확대하는 한편 육아휴직 기간을 진급 최저복무기간에 전부 산입함으로써 일ㆍ가정 양립을 위한 지원을 확대하고 특별진급의 대상을 복무 중에 뚜렷한 공적을 세운 사람으로 확대하여 평시에 특별한 공적을 세운 경우에도 진급시킬 수 있도록 함으로써 국가를 위하여 헌신하는 군인의 사기를 진작하고 복무 활성화를 도모하며 헌법불합치 결정에 따라 미성년자를 대상으로 성범죄를 저지른 경우 장교 등의 임용을 영구적으로 제한하는 규정을 개정하여 임용 결격기간을 10년으로 제한함으로써 아동의 건강과 안전을 보호하는 한편 공무담임권의 과도한 침해를 방지하며 장교 등의 임용 결격사유에 마약 관련 범죄를 범하여 100만원 이상의 벌금형을 선고받고 그 형이 확정된 후 3년이 지나지 아니한 경우를 추가하고 미성년자를 대상으로 한 마약 범죄를 장교 등의 10년간 임용이 제한되는 결격사유 및 제적사유에 추가함으로써 마약류 오ㆍ남용에 대한 경각심을 높이고 미성년자에 대한 안전 보호를 강화하는 한편 공무담임권의 과도한 침해를 방지하려는 것임. 대안의 주요내용 가. 미성년자를 대상으로 한 성범죄가 장교 등의 임용 결격사유로 적용되는 기간을 10년으로 제한(안 제10조제2항제6호의4). 나. 장교 등의 임용 결격사유에 마약 관련 범죄를 범하여 100만원 이상의 벌금형을 선고받고 그 형이 확정된 후 3년이 지나지 아니한 경우를 추가하고 미성년자를 대상으로 한 마약 범죄를 10년간 임용이 제한되는 결격사유 및 제적사유에 추가(안 제10조제2항제6호의3라목 신설 등). 다. 특별진급의 대상을 복무 중에 뚜렷한 공적을 세운 사람으로 확대(안 제30조). 라. 육아휴직 신청 대상을 남성 단기복무 장교·부사관까지 확대하고 육아휴직 기간 전체를 진급 최저복무기간에 산입(안 제48조제3항 등).
영화 및 비디오물의 진흥에 관한 법률 일부개정법률안,2204591,현재 한국영화의 발전 및 영화ㆍ비디오물산업의 진흥을 위하여 영화상영관에 입장하는 관람객에 대하여 입장권 가액의 100분의 5 이하의 범위에서 대통령령으로 정하는 부과금을 부과ㆍ징수하고 있음. 그러나 영화관람객에 대해 영화산업진흥 재원부담을 부과할 관련성 및 책임성을 인정하기 어려워 영화상영관 입장권 부과금을 폐지하여야 한다는 지적이 있음. 이에 영화 관람객의 경제적 부담을 완화하고 영화상영관 입장권의 요금 인하를 통해 영화 관람 수요 증가 및 영화산업 활성화를 도모할 수 있도록 영화상영관에 입장하는 관람객에 대하여 징수하는 부과금을 폐지하려는 것임.(안 제24조제3호 및 제25조의2 삭제) 현행법상 영화관 내 영화 상영은 영사산업기사 영사기능사 등 관련 국가 기술자격 취득자만 가능함. 동 조문은 필름 영화를 영사기로 상영하던 시기에 마련된 조항으로 영화 상영이 모두 디지털로 전환된 이후 필름 영사 기술이 불필요함에도 불구하고 해당 국가 기술자격을 요구하여 영화관의 인력 운영 부담을 가중시킨다는 지적이 있음. 이에 영사 분야 교육 수료자도 영화를 상영할 수 있도록 자격요건을 한시적으로 완화하여 영사 분야 교육 프로그램을 활성화하고 지역 영화관의 영화상영인력 수급 원활하게 하는 등 영화관 인력부담을 완화하려는 것임.(안 제44조 개정) 참고사항 이 법률안은 「국회법」 제85조의3제4항에 따라 2025년도 세입예산안 부수 법률안으로 지정될 필요가 있음.
장애인차별금지 및 권리구제 등에 관한 법률 일부개정법률안,2204294,현행법에 따르면 이 법에서 금지하는 차별행위로 인하여 피해를 입은 사람 또는 그 사실을 알고 있는 사람이나 단체는 국가인권위원회에 그 내용을 진정할 수 있으며 국가인권위원회는 접수된 진정을 조사하여 차별행위를 한 당사자에게 권고할 수 있음. 권고를 받은 자가 정당한 사유 없이 그 권고를 이행하지 아니하는 경우에는 그 내용을 법무부장관에게 통보하고 법무부장관은 시정 명령을 할 수 있음. 그러나 현행법상 괴롭힘 등은 이 법에서 금지하는 행위로는 규정되어 있으나 차별행위의 개념에는 명확하게 규정되어 있지 않아 국가인권위원회의 결정도 일관성이 없어 혼란을 주고 있다는 지적이 있음. 이에 집단따돌림 방치 유기 괴롭힘 희롱 학대 금전적 착취 성적 자기결정권 침해 등의 방법으로 장애인에게 가해지는 신체적ㆍ정신적ㆍ언어적 행위 역시 차별행위에 포함되도록 명시하여 장애인에 대한 차별을 방지하고 장애인의 인권을 두텁게 보호하고자 함(안 제4조제1항제7호 신설).
장애인 등에 대한 특수교육법 일부개정법률안,2202004,현행 「초ㆍ중등교육법 시행령」은 특성화중학교 특수목적고등학교 및 특성화고등학교 등 다양한 학교유형에 대한 규정을 두어 학생들의 소질과 적성에 맞는 교육을 실시할 수 있도록 하고 있음. 하지만 특수학교의 경우 학교 유형을 다양화할 수 있는 법적 근거의 부재로 특수교육대상학생의 재능 개발을 위한 전문적 교육에 한계가 있다는 견해가 있음. 이에 특정 분야의 인재 양성을 목적으로 하는 교육을 전문적으로 실시하는 학교(특성화특수학교)의 지정ㆍ운영 근거를 마련하고 특성화특수학교의 장에게 학생 선발권을 부여함으로써 재능 있는 특수교육대상학생이 예술 체육 등 특정 분야의 맞춤형 교육과정을 통해 각자의 소질과 적성을 개발할 수 있도록 하고자 함(안 제6조제2항 및 제3항 신설 등).
울산과학기술원법 일부개정법률안(대안),2204326,울산과학기술원에 과학영재학교를 설립할 수 있도록 법적 근거를 마련함으로써 과학영재를 대상으로 우수한 교육이 이루어질 수 있도록함. 대안의 주요내용 가. 울산과학기술원의 정관에 따라 부설기관을 설치할 수 있도록 함(안 제3조의2 제4조 및 제16조의2). 나. 울산과학기술원에 과학영재학교를 둘 수 있는 근거를 마련하고 과학영재학교 교원의 임면과 교원인사위원회에 관한 사항을 규정함(안 제7조의2 제7조의3 제9조 제9조의2 제9조의4 및 제9조의5).
교육기본법 일부개정법률안,2202397,현행법은 국민의 학습권과 학습자 보호자 교원 등 교육당사자에 대한 역할과 책임 등 교육제도와 그 운영에 관한 기본적인 사항을 규정하고 있음. 그런데 교원이 학생 생활지도와 교육활동을 하는 과정에서 학부모 등의 민원과 과도한 간섭에 따른 피해를 겪는 경우가 발생하고 있어 교원의 학생 교육ㆍ지도 권한에 대한 보호가 강화될 필요가 있다는 의견이 있음. 이에 학교에서 교원의 교육활동에 대한 보호와 학생 생활지도의 권한은 법령과 학교의 규칙에 따라 보장되어야 한다고 규정함으로써 교원들이 사명감을 가지고 교육활동에 전념할 수 있도록 하려는 것임(안 제14조제2항 신설).
불공정무역행위 조사 및 산업피해구제에 관한 법률 일부개정법률안,2201129,과도한 형벌규정으로 인한 민간 경제활동의 어려움을 경감하기 위하여 불공정무역행위의 중지나 그 밖에 피해를 예방할 수 있는 잠정조치명령을 위반한 자에 대하여 종전에는 3년 이하의 징역 또는 3천만원 이하의 벌금에 처하도록 하였으나 앞으로는 3천만원 이하의 과태료를 부과하도록 하려는 것임.
철도의 건설 및 철도시설 유지관리에 관한 법률 일부개정법률안,2202488,현행법은 국토교통부장관이 국가철도망구축계획 수립 시 「지방자치분권 및 지역균형발전에 관한 특별법」에 따른 ‘지방시대 종합계획’과 조화를 이루도록 규정하고 있으나 의무적 포함사항에 지역 간 불균형 해소 등에 관한 사항은 제외되어 있음. 최근 저출산ㆍ고령화 도시권역 인구집중 지방소멸위기 등의 사회환경 변화로 인해 교통서비스에 대한 사회적 요구가 증대됨에 따라 교통정책 패러다임도 인프라 확충 등 양적 측면에서 지역 간 불균형 등을 고려한 서비스 제고 등의 질적 측면으로 전환되고 있음. 그런데 철도 건설을 포함하여 교통정책 전반이 이러한 중대한 사회적 여건 변화에 대응하지 못하고 있다는 지적이 있음. 이에 철도 관련 최상위 법정계획인 국가철도망종합계획에 이러한 환경 변화에 대한 사항이 구체적으로 포함되어야 할 필요가 있음. 이에 국가교통망의 핵심인 철도가 최근의 사회환경 변화를 반영하여 지방소멸 및 인구위기 대응에 기여할 수 있도록 국가철도망구축계획 수립 시 관련 사항을 의무적으로 포함하도록 하여 지역 간 불균형을 해소하고 공공복리 향상에 이바지하려는 것임(안 제5조제1항제5호 신설).
대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,2200478,현행법은 국토교통부장관이？대중교통을？육성ㆍ지원하고 그？이용을？촉진하기？위하여 대중교통기본계획(이하 “기본계획”)을？수립하도록？하고 지자체가？추진하는 관련 시책을 평가할 수？있도록 하면서 평가결과가 우수한 지자체를 우선하여 재정 지원하도록 규정하고 있음. 그런데 기본계획의 의무적 포함사항의 경우 농어촌 주민 등의 불편이나 도농 복합도시 내 읍ㆍ면ㆍ동 간의 불균형 해소에 미흡한 측면이 있고 지자체 시책에 대한 평가제도의 경우 재량사항일 뿐만 아니라 결과의 활용 또한 제한적이어서 실효성이 떨어진다는 지적이 제기됨. 이에 기본계획에 의무적으로 포함되어야 할 사항을 추가하고 지자체 시책에 대한 평가를 의무화하는 등 현행 제도의 운영상 나타난 일부 미비점을 개선ㆍ보완하려는 것임(안 제5조제2항제9의2호 신설 및 제17조제2항 등).
수도법 일부개정법률안(대안),2204328,소규모 지방자치단체 간 수도사업 통합을 통해 취수원 수도관로의 공동 사용 등을 통한 규모의 경제를 도모하고 수도사업의 경영효율화를 달성하기 위하여 수도사업 통합과 상수도조합 정의규정을 신설하고 수도사업의 경영 주체에 「지방자치법」에 따른 상수도조합을 추가하려는 것임. 또한 수도사업 통합에 따라 수도사업의 운영ㆍ관리주체인 상수도조합 등에 수돗물평가위원회를 둘 수 있도록 하고 상수도조합 등의 자율적 결정에 따라 한국수자원공사 등 전문기관에 수도사업을 위탁할 수 있는 근거를 마련하려는 것임. 도지사의 책무에 관할 구역의 수도사업 경영 및 재정체계 개선을 위한 노력 등을 추가하고 도지사에게 지자체별 수도사업 경영현황 등이 포함된 수도사업 통합계획을 수립할 의무를 부여하는 등 도지사의 깨끗한 물 공급에 대한 책무를 강화하려는 것임. 그 밖에 미성년자의 직업선택의 자유 등을 폭넓게 보장하기 위하여 정수시설운영관리사 및 상수도관망시설운영관리사의 결격사유에서 미성년자를 삭제하려는 것임. 대안의 주요내용 가. 상수도조합에 대해 안정적인 수돗물 공급 책무를 부여하고 도지사에게 수도사업 경영 및 재정체계 개선 노력 의무를 부여함(안 제2조제3항 및 제4항). 나. 수도사업 통합과 상수도조합의 정의규정을 신설하고 수도사업의 경영 주체에 상수도조합을 추가함(안 제3조제8호ㆍ제9호ㆍ제21호ㆍ제25호 및 제12조제1항). 다. 수도사업 통합 추진시 상수도조합 등이 수도정비계획을 통합하여 수립하도록 하고 상수도조합이 지자체를 대신하여 일반수도사업의 인가를 받도록 함(안 제5조제1항ㆍ제6항ㆍ제10항 및 제17조). 라. 도지사 및 특별자치도지사에게 지자체별 수도사업 경영현황 수도사업 경영합리화 방안 등이 포함된 수도사업 통합계획 수립 의무를 부여함(안 제5조의2 신설). 마. 상수도조합의 자율적 결정에 따라 한국수자원공사 등 전문기관에 수도사업을 위탁할 수 있는 근거를 마련함(안 제23조제1항). 바. 정수시설운영관리사 및 상수도관망시설운영관리사의 결격사유에서 미성년자를 삭제함(안 제24조제4항제1호 및 제25조의2제2항제1호). 사. 수도통합에 따라 상수도조합 등이 수도사업의 운영ㆍ관리주체가 되므로 상수도조합 등에 수도시설의 운영에 관한 자문 업무 등을 담당하는 수돗물평가위원회를 둘 수 있도록 규정함(안 제30조).
헌법재판소 재판관 마은혁 임명 촉구 결의안(대안),2208161,
중앙행정권한 및 사무 등의 지방 일괄이양을 위한 폐기물관리법 등 8개 법률 일부개정에 관한 법률안,2203548,지방자치단체가 지역 특성을 고려한 행정수요에 효과적으로 대응하고 급변하는 행정환경 변화에 따른 정책을 주도적으로 추진하기 위해서는 국가 권한의 지방 이양을 통한 실효성 있는 지방분권 강화가 필요함. 특히 폐기물처리업자 등의 권리ㆍ의무 승계에 관한 사항 폐기물처리시설의 설치계획 승인 특정도서 명예감시원 위촉 기타수질오염원 설치 신고 자연환경학습원의 설치 및 지역환경교육계획 수립 등 관할 지역 주민의 생활과 밀접하고 지역적 현지성이 강한 환경사무와 관련된 국가 권한을 시ㆍ도 및 시ㆍ군ㆍ구로 이양하여 지방자치단체의 권한을 확대할 필요성이 있음. 또한 종전에는 특별시장ㆍ광역시장 등 시ㆍ도지사에게만 부여되었던 자연환경학습원 설치 권한 관할 구역의 환경교육계획의 수립 권한 및 환경전문공사업의 등록 권한을 인구 50만 이상 대도시 및 인구 100만 이상 대도시(특례시)의 경우에도 부여하도록 특례를 두는 등 현장 중심의 정책결정 및 행정서비스 제공을 촉진하고 종전의「지방자치분권 및 지방행정체제개편에 관한 특별법」에 따른 자치분권위원회가 지방자치단체에 이양하기로 심의ㆍ의결한 권한과 사무를 조속히 이양할 수 있도록 하기 위하여 「폐기물관리법」 등 8개 법률을 개정하려는 것임.
국립해양과학관의 설립 및 운영에 관한 법률 일부개정법률안,2200782,현행법은 경상북도 울진군에 소재한 국립해양과학관의 설립 및 운영에 필요한 법적 근거를 마련하기 위해 제정되었음 현재 해양수산부는 내륙에 해양과학 인프라 구축을 통해 내륙 청소년의 해양의식 고취 및 지역 균형발전을 위해 충청북도 청주시에 국립미래해양과학관을 건립 중임. 이에 국립미래해양과학관도 적용할 수 있도록 제명을 「국립해양과학관 등의 설립 및 운영에 관한 법률」로 개정하는 등 관련 조문을 정비하는 한편 국립미래해양과학관의 설립 준비에 관한 사항 등을 규정하려는 것임(안 제1조 제2조 제22조 및 제26조).
국민체육진흥법 일부개정법률안(대안),2208471,노인의 체육 활동 수요가 증가하고 있고 현행법상 국민체육진흥기금의 체육 활동 지원 대상이 저소득층 등으로 한정적인 등 노인 유소년 장애인 등의 체육 활동 지원도 할 수 있도록 할 필요가 있음. 유소년의 체육활동은 유소년의 신체 발달 자아개념 형성 등에 영향을 끼치는바 유소년의 건강한 체육활동을 지원하는 것이 필요함. 「국민체육진흥법」 제28조 개정(’22.1.18.)에 따라 국민체육진흥공단은 체육진흥투표권 발행사업 시행에 따른 “운영비”를 취득하여 사용할 수 있게 되었으나 수익금의 기금 출연 관련 규정은 함께 개정되지 않았는바 법 조항이 서로 위배되지 않도록 조문 정비가 필요함. 대안의 주요내용 가. 기금으로 노인 및 유소년 장애인의 체육 활동 지원을 할 수 있도록 함(안 제22조제1항제11호 제11호의2 신설). 나. 국가 및 지방자치단체가 유소년 체육 진흥 등에 필요한 시책을 마련하고 유소년 체육 활동에 필요한 시설의 적정한 확보와 그 운영에 필요한 시책을 마련하도록 함(안 제10조의2 제13조제3항). 다. 수탁사업자가 총매출액 중 환급금을 제외한 금액을 국민체육진흥공단으로 넘겨주고 국민체육진흥공단이 그 금액에서 운영비를 제외하여 국민체육진흥계정에 출연하며 그 결과를 문체부장관에게 보고하도록 함(안 제29조).
도시와 농어촌 간의 교류촉진에 관한 법률 일부개정법률안(대안),2205971,현행법은 농어촌 마을의 부존자원을 활용하여 도시민에게 체험ㆍ휴양공간을 제공하거나 숙박ㆍ음식 등의 서비스를 제공하는 사업(이하 “농어촌체험ㆍ휴양마을사업”이라 함)에 대한 지원규정을 두어 마을 주민들로 구성된 협의회나 어촌계가 농어촌체험ㆍ휴양마을사업자로 지정받은 경우 지방자치단체의 장으로 하여금 농어촌체험ㆍ휴양마을사업에 필요한 비용을 지원할 수 있도록 규정하고 있음. 그런데 농어촌체험ㆍ휴양마을사업자의 자주적인 협동체인 전국 체험휴양마을협의회와 도(道)별 체험휴양마을협의회가 설립ㆍ운영 중으로 국가는 ’23년까지 해당 단체의 인건비와 사업비 등을 보조하고 있으나 현행법에는 이와 관련된 비용 지원에 대한 근거가 부재하여 체험휴양마을협의회의 안정적인 운영에 걸림돌로 작용하고 있는 실정임. 이에 국가와 지방자치단체로 하여금 농어촌체험ㆍ휴양마을사업자에게 체험휴양 공동 프로그램 마련 등 운영에 필요한 비용을 지원할 수 있는 근거를 마련함으로써 농어촌체험ㆍ휴양마을사업의 활성화와 안정적인 운영에 기여하려는 것임 한편 현행법은 국가와 지방자치단체에 유치원의 원아 및 학교에 재학 중인 학생을 대상으로 하는 농어촌체험교육 활성화 노력의 의무를 부여하고 교육프로그램 운영 및 예산 지원 근거를 규정하고 있음. 이를 근거로 하여 농림축산식품부에서는 2011년부터 도시 학생이 농어촌학교에 전ㆍ입학하여 일정기간 머무르면서 농어촌체험을 하는 유학센터형 농촌유학을 추진하고 있으며 서울ㆍ전북교육청 등에서는 2021년부터 시도지자체별 조례 및 교육청 간 협약을 통해 가족체류형ㆍ홈스테이형ㆍ유학센터형 농촌유학을 추진하고 있는데 참여 교육청이 점차 확대되고 참여 학생 수는 누적 1 000여 명에 이르고 있음. 현행법에 농어촌체험교육의 특화된 형태인 농어촌유학에 대한 법률 수준의 명확한 근거 규정 없이 지자체별 자치법규로 제정되어 운영되고 있는 바 사업의 안정적이고 지속적인 추진에 어려움이 많음. 이에 지방소멸의 실질적인 대책이자 중장기적 대책인 농어촌유학을 육성하고 지원하기 위한 지원 근거를 마련하고 국가적 정책으로 추진하기 위한 제도적 기반을 마련하려는 것임 또한 현행법에 따른 도농교류 활성화를 위한 교육프로그램 또는 교육과정 인증은 그 실적 등을 고려할 때 제도 운영의 실효성이 크지 않으므로 해당 인증 제도를 폐지하고 인증 제도 폐지에 따른 도농교류 교육 공백을 최소화하기 위하여 특별시장ㆍ광역시장ㆍ특별자치시장ㆍ도지사ㆍ특별자치도지사가 종전의 인증 대상 교육프로그램을 개발ㆍ보급하거나 교육과정을 개설ㆍ운영할 수 있도록 하려는 것임. (안 제6조제2항·제14조·제17조·제20조·제26조·제28조 및 안 제19조 삭제).
국민건강증진법 일부개정법률안,2204904,대안교육기관에 재학하는 학생도 일반 학교에 재학하는 학생과 마찬가지로 흡연으로부터 보호받아야 할 대상임. 하지만 현행법상 금연구역 지정 시설에 학교는 포함되어 있지만 대안교육기관은 미포함됨. 이에 금연구역 지정 시설에 대안교육기관의 교사와 교지를 포함하도록 하려는 것임(안 제9조제4항제6호의2 신설).
자동차손해배상 보장법 일부개정법률안,2201804,현행법은 국토교통부장관이 자동차사고의 예방에 효과적인 자동차 운행 안전장치를 장착한 자동차의 보험료 할인을 확대하도록 보험회사등에 권고할 수 있도록 하며 동법 시행령에서 차선이탈을 알려주는 장치 등을 열거하고 있음. 그런데 최근 자동차 돌진 사고가 잇따르며 차량 급발진에 대한 운전자들의 불안감이 증가하고 있고 정확한 사고원인 규명을 위해 페달 부분에 설치하는 영상기록장치(블랙박스)의 필요성이 강조되고 있음. 이에 국토교통부장관이 자동차 보험료 할인을 권고할 수 있는 장치의 유형으로 사고원인 파악을 위한 기록장치를 추가함으로써 교통안전을 강화하려는 것임(안 제43조의3).
학교폭력예방 및 대책에 관한 법률 일부개정법률안,2203449,최근 인공지능 기술의 발달과 함께 일부 청소년들 사이에서 특정 인물의 얼굴이나 신체 부위를 성적 영상과 합성한 딥페이크 영상이 제작？유포되고 있어 많은 피해자를 양산하고 있음. 이러한 딥페이크 영상의 제작과 유포는 그 자체로 매우 심각한 인격권 침해일 뿐 아니라 방기할 경우 학교폭력의 새로운 형태로 자리 잡을 수 있다는 지적까지 제기됨. 그러나 현행법상 사이버폭력은 따돌림 등만 규정하고 있을 뿐 딥페이크 영상을 구체적으로 포함하지 못하고 있으며 이로 인해 딥페이크 영상 삭제 등 국가의 사이버폭력 피해자 지원방안에서 사각지대로 남을 우려가 있음. 이에 사이버폭력의 정의에 딥페이크를 포함시켜 그 폭력성을 명확히 하고 촬영물 삭제 지원의 대상에 딥페이크 영상을 포함시킴으로써 허위영상물로부터 학생들을 더욱 보호하려는 것임(안 제2조제1호의3 및 제16조의4).
